Experience,Rating,Profile,Fees,city,and,bams,bds,bhms,ddv,ddvl,dnb,ent,in,mbbs,md,mds,ms,of,oral,phd,post
24,10,Homeopath,100,Ernakulam,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,10,Ayurveda,350,Bangalore,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,0,ENT Specialist,300,Bangalore,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,0,Ayurveda,250,Bangalore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,10,Ayurveda,250,Chennai,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,Ayurveda,100,Chennai,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,Homeopath,200,Delhi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,Dentist,200,Bangalore,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,General Medicine,100,Hyderabad,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,0,Dentist,100,Ernakulam,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,ENT Specialist,700,Chennai,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
7,0,Ayurveda,100,Hyderabad,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,Dentist,200,Coimbatore,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,0,Dentist,350,Hyderabad,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
12,0,ENT Specialist,500,Delhi,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
10,0,General Medicine,200,Hyderabad,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,0,ENT Specialist,100,Chennai,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0,Homeopath,300,Chennai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,8,ENT Specialist,400,Hyderabad,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
19,10,General Medicine,150,Bangalore,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,10,Dentist,100,Coimbatore,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
14,0,ENT Specialist,500,Delhi,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
41,0,General Medicine,200,Mumbai,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,0,General Medicine,100,Ernakulam,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,0,Dermatologists,100,Mumbai,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,0,Dentist,100,Thiruvananthapuram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,10,General Medicine,500,Bangalore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10,General Medicine,250,Hyderabad,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
16,0,Dentist,100,Coimbatore,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,10,Dermatologists,500,Delhi,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
7,10,Dermatologists,500,Hyderabad,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,0,Dentist,500,Mumbai,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,10,ENT Specialist,100,Delhi,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
23,9,General Medicine,500,Chennai,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
9,0,Ayurveda,300,Delhi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,10,Dentist,400,Delhi,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
10,0,Dentist,250,Delhi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,9,Homeopath,300,Mumbai,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,8,ENT Specialist,100,Delhi,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0
16,0,General Medicine,100,Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,10,Dentist,250,Hyderabad,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,10,Homeopath,500,Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,10,Ayurveda,500,Bangalore,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,Ayurveda,300,Hyderabad,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,10,Homeopath,500,Mumbai,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
7,0,Dermatologists,500,Hyderabad,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,10,Dentist,200,Hyderabad,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
31,0,General Medicine,200,Hyderabad,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,10,Dermatologists,400,Hyderabad,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,0,Dentist,200,Coimbatore,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
42,0,General Medicine,100,Hyderabad,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,0,Ayurveda,150,Chennai,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,Dermatologists,650,Hyderabad,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,10,Dentist,100,Mumbai,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,Ayurveda,300,Hyderabad,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4,ENT Specialist,600,Bangalore,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
14,10,Dentist,200,Bangalore,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,10,Dermatologists,400,Bangalore,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
24,0,General Medicine,500,Chennai,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
38,10,General Medicine,500,Bangalore,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,0,General Medicine,500,Chennai,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,10,Dentist,200,Hyderabad,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,10,Dentist,200,Delhi,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,0,Homeopath,150,Delhi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,Homeopath,200,Delhi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,10,Homeopath,200,Bangalore,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,10,Dentist,500,Mumbai,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
36,8,Dermatologists,500,Hyderabad,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,0,Homeopath,150,Chennai,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,10,ENT Specialist,500,Delhi,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
13,10,Dentist,300,Delhi,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1
11,0,ENT Specialist,300,Delhi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,0,Homeopath,100,Mumbai,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,General Medicine,100,Mumbai,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41,9,Dermatologists,350,Hyderabad,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,10,General Medicine,500,Hyderabad,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,Dentist,100,Chennai,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,10,Dentist,300,Coimbatore,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,10,Dermatologists,600,Delhi,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
10,0,Dentist,200,Hyderabad,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49,0,General Medicine,100,Chennai,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
9,0,Dentist,250,Hyderabad,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,Ayurveda,50,Delhi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,10,Dermatologists,100,Mumbai,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,10,Dentist,200,Bangalore,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,0,General Medicine,150,Thiruvananthapuram,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,10,Dentist,500,Delhi,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,0,Dermatologists,700,Delhi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,10,Dermatologists,250,Chennai,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,0,General Medicine,50,Hyderabad,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,Ayurveda,50,Mumbai,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
15,0,Ayurveda,250,Chennai,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
7,10,Dentist,200,Mumbai,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
12,10,Dentist,500,Mumbai,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
12,10,Homeopath,500,Bangalore,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,10,Dermatologists,700,Delhi,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
24,0,Dermatologists,200,Chennai,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,0,Ayurveda,100,Mumbai,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10,Dentist,200,Hyderabad,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,0,Homeopath,500,Bangalore,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
