_id,total_rainfall,month
1,53.8,1994-07
2,45.1,1994-08
3,23.7,1994-09
4,84.7,1994-10
5,322.2,1994-11
6,425.4,1994-12
7,349.4,1995-01
8,334,1995-02
9,67.7,1995-03
10,242.3,1995-04
11,84.4,1995-05
12,63.7,1995-06
13,173.6,1995-07
14,211.6,1995-08
15,29.5,1995-09
16,101.1,1995-10
17,372.8,1995-11
18,302.5,1995-12
19,173.2,1996-01
20,180.2,1996-02
21,129.7,1996-03
22,178.2,1996-04
23,107.5,1996-05
24,265.8,1996-06
25,162.3,1996-07
26,107.1,1982-01
27,27.8,1982-02
28,160.8,1982-03
29,157,1982-04
30,102.2,1982-05
31,59.5,1982-06
32,76.3,1982-07
33,169.5,1982-08
34,54.1,1982-09
35,39.3,1982-10
36,134,1982-11
37,494.1,1982-12
38,246,1983-01
39,5.6,1983-02
40,18.6,1983-03
41,33.6,1983-04
42,160.8,1983-05
43,94,1983-06
44,190,1983-07
45,262.2,1983-08
46,170.8,1983-09
47,212.7,1983-10
48,228.8,1983-11
49,370.6,1983-12
50,251.2,1984-01
51,258.4,1996-08
52,297,1996-09
53,300,1996-10
54,180.2,1996-11
55,185.5,1996-12
56,15.4,1997-01
57,105.4,1997-02
58,34.3,1997-03
59,118.4,1997-04
60,41.6,1997-05
61,78.9,1997-06
62,18.6,1997-07
63,86.6,1997-08
64,31.1,1997-09
65,78.4,1997-10
66,158.3,1997-11
67,351.9,1997-12
68,268.8,1998-01
69,32.5,1998-02
70,58.8,1998-03
71,187.7,1998-04
72,370.8,1998-05
73,198.8,1998-06
74,259.2,1998-07
75,195,1998-08
76,470.4,1984-02
77,361.3,1984-03
78,153.1,1984-04
79,186.5,1984-05
80,255,1984-06
81,127.2,1984-07
82,102.7,1984-08
83,186.7,1984-09
84,187.5,1984-10
85,127.7,1984-11
86,277.4,1984-12
87,111.1,1985-01
88,79.3,1985-02
89,88,1985-03
90,110.5,1985-04
91,70.1,1985-05
92,37,1985-06
93,131.8,1985-07
94,56.9,1985-08
95,110.7,1985-09
96,169,1985-10
97,179.4,1985-11
